Service_ID,Resource_ID,Assigned,Normalized_KPI,Normalized_KVI,Min_KPI,Min_KVI,KPI_Service,KVI_Service,KPI_Resource,KVI_Resource,Global_KPI,Global_KVI
1,7,0,[1.         0.52173913 0.53333333 0.47619048],[1.03030303 0.55555556 0.92444444],0.632815734989648,0.8283999994651934,0.001,0.001,"[1.0, 4.0, 4.0, 3.0]","[38.0, 4.0, 0.006220214038592483]","[20.0, 8.0, 12.0, 7.0]","[4.0, 1.0, 0.7684517330020134]"
1,8,0,[0.21052632 0.86956522 0.2        0.33333333],[1.12121212 0.55555556 0.48337033],0.40335621662852783,0.7128455406922659,0.001,0.001,"[1.0, 4.0, 4.0, 3.0]","[38.0, 4.0, 0.006220214038592483]","[5.0, 16.0, 7.0, 4.0]","[1.0, 1.0, 0.40477320460313393]"
1,9,0,[0.78947368 1.         0.53333333 0.52380952],[1.         0.66666667 0.45007462],0.7116541353383459,0.6985246243784569,0.001,0.001,"[1.0, 4.0, 4.0, 3.0]","[38.0, 4.0, 0.006220214038592483]","[16.0, 19.0, 12.0, 8.0]","[5.0, 2.0, 0.3773199198141473]"
2,0,0,[0.44444444 0.7826087  0.4        0.60869565],[1.         0.42857143 1.21535635],0.5589371980676329,0.872496165559673,0.001,0.001,"[2.0, 4.0, 4.0, 5.0]","[23.0, 2.0, 0.5311053845036794]","[10.0, 14.0, 10.0, 9.0]","[5.0, 1.0, 0.16693100380554063]"
2,1,0,[0.22222222 1.         0.06666667 0.47826087],[1.         1.         1.29279948],0.4417874396135266,1.0866238275708446,0.001,0.001,"[2.0, 4.0, 4.0, 5.0]","[23.0, 2.0, 0.5311053845036794]","[6.0, 19.0, 5.0, 6.0]","[5.0, 5.0, 0.1437256249066081]"
2,2,0,[0.16666667 0.65217391 1.         1.        ],[1.16666667 1.         0.33856207],0.7047101449275363,0.8267254835626069,0.001,0.001,"[2.0, 4.0, 4.0, 5.0]","[23.0, 2.0, 0.5311053845036794]","[5.0, 11.0, 19.0, 18.0]","[2.0, 5.0, 0.6325535178856858]"
2,3,1,[0.61111111 0.91304348 0.66666667 0.65217391],[1.22222222 0.85714286 1.60332195],0.7107487922705313,1.2152867189859926,0.001,0.001,"[2.0, 4.0, 4.0, 5.0]","[23.0, 2.0, 0.5311053845036794]","[13.0, 17.0, 14.0, 10.0]","[1.0, 4.0, 0.050679393051513824]"
2,4,0,[0.16666667 1.         0.8        0.7826087 ],[1.16666667 0.71428571 1.40104009],0.6873188405797102,1.0830575166745584,0.001,0.001,"[2.0, 4.0, 4.0, 5.0]","[23.0, 2.0, 0.5311053845036794]","[5.0, 19.0, 16.0, 13.0]","[2.0, 3.0, 0.11129196085944555]"
2,5,0,[0.         0.56521739 0.6        0.82608696],[1.22222222 0.42857143 1.        ],0.49782608695652175,0.8747619047619049,0.001,0.001,"[2.0, 4.0, 4.0, 5.0]","[23.0, 2.0, 0.5311053845036794]","[2.0, 9.0, 13.0, 14.0]","[1.0, 1.0, 0.8307495028242984]"
2,6,0,[0.88888889 0.73913043 0.13333333 0.56521739],[1.16666667 1.         0.38493366],0.5816425120772947,0.8420281069382006,0.001,0.001,"[2.0, 4.0, 4.0, 5.0]","[23.0, 2.0, 0.5311053845036794]","[18.0, 13.0, 2.0, 8.0]","[2.0, 5.0, 0.6464484908837836]"
2,7,0,[1.         0.52173913 0.53333333 0.52173913],[1.05555556 0.42857143 0.79209413],0.6442028985507247,0.7511529690798879,0.001,0.001,"[2.0, 4.0, 4.0, 5.0]","[23.0, 2.0, 0.5311053845036794]","[20.0, 8.0, 12.0, 7.0]","[4.0, 1.0, 0.7684517330020134]"
2,8,0,[0.16666667 0.86956522 0.2        0.39130435],[1.22222222 0.42857143 0.42160741],0.40688405797101446,0.683892349239951,0.001,0.001,"[2.0, 4.0, 4.0, 5.0]","[23.0, 2.0, 0.5311053845036794]","[5.0, 16.0, 7.0, 4.0]","[1.0, 1.0, 0.40477320460313393]"
2,9,0,[0.77777778 1.         0.53333333 0.56521739],[1.         0.57142857 0.51322704],0.7190821256038646,0.6879363526419353,0.001,0.001,"[2.0, 4.0, 4.0, 5.0]","[23.0, 2.0, 0.5311053845036794]","[16.0, 19.0, 12.0, 8.0]","[5.0, 2.0, 0.3773199198141473]"
3,0,0,[0.41176471 0.76190476 0.5        0.60869565],[1.         0.6        0.19705589],0.5705912799902569,0.5930284452436277,0.001,0.001,"[3.0, 2.0, 1.0, 5.0]","[11.0, 5.0, 0.004018856670206399]","[10.0, 14.0, 10.0, 9.0]","[5.0, 1.0, 0.16693100380554063]"
