Service_ID,Resource_ID,Assigned,Normalized_KPI,Normalized_KVI,Min_KPI,Min_KVI,KPI_Service,KVI_Service,KPI_Resource,KVI_Resource
2,4,0,0.9166666666666666,0.7085294117647059,0.001,0.001,"[3.0, 5.0, 1.0, 4.0]","[34.0, 2.0, 0.14779520762479478]","[2.0, 14.0, 12.0, 19.0]","[5.0, 3.0, 0.6684207568078719]"
2,5,0,0.85,0.4880513016796246,0.001,0.001,"[3.0, 5.0, 1.0, 4.0]","[34.0, 2.0, 0.14779520762479478]","[6.0, 2.0, 1.0, 19.0]","[2.0, 1.0, 0.13598929821251754]"
2,6,0,1.0,0.6891176470588236,0.001,0.001,"[3.0, 5.0, 1.0, 4.0]","[34.0, 2.0, 0.14779520762479478]","[11.0, 20.0, 13.0, 17.0]","[3.0, 3.0, 0.7360923475293826]"
2,7,0,1.0,0.6697058823529412,0.001,0.001,"[3.0, 5.0, 1.0, 4.0]","[34.0, 2.0, 0.14779520762479478]","[5.0, 16.0, 17.0, 13.0]","[1.0, 3.0, 0.6126498579314162]"
2,8,0,1.0,0.5047058823529412,0.001,0.001,"[3.0, 5.0, 1.0, 4.0]","[34.0, 2.0, 0.14779520762479478]","[10.0, 19.0, 5.0, 6.0]","[1.0, 1.0, 0.5864720227380765]"
2,9,0,1.0,0.6988235294117647,0.001,0.001,"[3.0, 5.0, 1.0, 4.0]","[34.0, 2.0, 0.14779520762479478]","[12.0, 15.0, 3.0, 7.0]","[4.0, 3.0, 0.6813092804274511]"
3,0,0,1.0,0.6670212765957447,0.001,0.001,"[1.0, 4.0, 4.0, 2.0]","[47.0, 1.0, 0.7504908598404959]","[3.0, 11.0, 20.0, 9.0]","[1.0, 4.0, 0.8992176899901486]"
3,1,0,1.0,0.6736731959190017,0.001,0.001,"[1.0, 4.0, 4.0, 2.0]","[47.0, 1.0, 0.7504908598404959]","[12.0, 18.0, 16.0, 3.0]","[5.0, 3.0, 0.701747190187245]"
3,2,1,1.0,0.6951063829787234,0.001,0.001,"[1.0, 4.0, 4.0, 2.0]","[47.0, 1.0, 0.7504908598404959]","[3.0, 13.0, 16.0, 18.0]","[5.0, 4.0, 0.912947536588053]"
3,3,0,1.0,0.4859713448197705,0.001,0.001,"[1.0, 4.0, 4.0, 2.0]","[47.0, 1.0, 0.7504908598404959]","[4.0, 7.0, 8.0, 4.0]","[5.0, 5.0, 0.2748728761717458]"
3,4,0,1.0,0.6590191560050039,0.001,0.001,"[1.0, 4.0, 4.0, 2.0]","[47.0, 1.0, 0.7504908598404959]","[2.0, 14.0, 12.0, 19.0]","[5.0, 3.0, 0.6684207568078719]"
3,5,0,0.6875,0.4038387090296411,0.001,0.001,"[1.0, 4.0, 4.0, 2.0]","[47.0, 1.0, 0.7504908598404959]","[6.0, 2.0, 1.0, 19.0]","[2.0, 1.0, 0.13598929821251754]"
3,6,0,1.0,0.6747326280139343,0.001,0.001,"[1.0, 4.0, 4.0, 2.0]","[47.0, 1.0, 0.7504908598404959]","[11.0, 20.0, 13.0, 17.0]","[3.0, 3.0, 0.7360923475293826]"
3,7,0,1.0,0.6064109040195033,0.001,0.001,"[1.0, 4.0, 4.0, 2.0]","[47.0, 1.0, 0.7504908598404959]","[5.0, 16.0, 17.0, 13.0]","[1.0, 3.0, 0.6126498579314162]"
3,8,0,1.0,0.5949001900640554,0.001,0.001,"[1.0, 4.0, 4.0, 2.0]","[47.0, 1.0, 0.7504908598404959]","[10.0, 19.0, 5.0, 6.0]","[1.0, 1.0, 0.5864720227380765]"
3,9,0,0.9375,0.6576651207069948,0.001,0.001,"[1.0, 4.0, 4.0, 2.0]","[47.0, 1.0, 0.7504908598404959]","[12.0, 15.0, 3.0, 7.0]","[4.0, 3.0, 0.6813092804274511]"
4,0,0,1.0,0.6875,0.001,0.001,"[1.0, 3.0, 5.0, 5.0]","[12.0, 4.0, 0.07801359324088335]","[3.0, 11.0, 20.0, 9.0]","[1.0, 4.0, 0.8992176899901486]"
4,1,0,0.9,0.7150000000000001,0.001,0.001,"[1.0, 3.0, 5.0, 5.0]","[12.0, 4.0, 0.07801359324088335]","[12.0, 18.0, 16.0, 3.0]","[5.0, 3.0, 0.701747190187245]"
4,2,1,1.0,0.7975000000000001,0.001,0.001,"[1.0, 3.0, 5.0, 5.0]","[12.0, 4.0, 0.07801359324088335]","[3.0, 13.0, 16.0, 18.0]","[5.0, 4.0, 0.912947536588053]"
4,3,0,0.95,0.7975000000000001,0.001,0.001,"[1.0, 3.0, 5.0, 5.0]","[12.0, 4.0, 0.07801359324088335]","[4.0, 7.0, 8.0, 4.0]","[5.0, 5.0, 0.2748728761717458]"
4,4,0,1.0,0.7150000000000001,0.001,0.001,"[1.0, 3.0, 5.0, 5.0]","[12.0, 4.0, 0.07801359324088335]","[2.0, 14.0, 12.0, 19.0]","[5.0, 3.0, 0.6684207568078719]"
4,5,0,0.7166666666666666,0.4675,0.001,0.001,"[1.0, 3.0, 5.0, 5.0]","[12.0, 4.0, 0.07801359324088335]","[6.0, 2.0, 1.0, 19.0]","[2.0, 1.0, 0.13598929821251754]"
4,6,0,1.0,0.66,0.001,0.001,"[1.0, 3.0, 5.0, 5.0]","[12.0, 4.0, 0.07801359324088335]","[11.0, 20.0, 13.0, 17.0]","[3.0, 3.0, 0.7360923475293826]"
4,7,0,1.0,0.605,0.001,0.001,"[1.0, 3.0, 5.0, 5.0]","[12.0, 4.0, 0.07801359324088335]","[5.0, 16.0, 17.0, 13.0]","[1.0, 3.0, 0.6126498579314162]"
4,8,0,1.0,0.44,0.001,0.001,"[1.0, 3.0, 5.0, 5.0]","[12.0, 4.0, 0.07801359324088335]","[10.0, 19.0, 5.0, 6.0]","[1.0, 1.0, 0.5864720227380765]"
4,9,0,0.9,0.6875,0.001,0.001,"[1.0, 3.0, 5.0, 5.0]","[12.0, 4.0, 0.07801359324088335]","[12.0, 15.0, 3.0, 7.0]","[4.0, 3.0, 0.6813092804274511]"
